V,30233297,53.555495,-113.495968
V,30233614,53.556850,-113.467335
V,30233615,53.559526,-113.467225
V,30233617,53.569099,-113.467292
V,30233618,53.573245,-113.467273
V,30233619,53.577691,-113.467333
V,30233939,53.571487,-113.624560
V,30233940,53.573006,-113.616277
V,30233959,53.573645,-113.615361
V,30233960,53.572840,-113.615395
V,33051439,53.649032,-113.627747
V,33051440,53.635754,-113.623370
V,33051441,53.631024,-113.621758
V,33051442,53.629075,-113.620170
V,33051444,53.623564,-113.612966
V,33051528,53.598867,-113.421986
V,33051530,53.606145,-113.413442
V,33051531,53.611900,-113.406147
V,33051532,53.614295,-113.403781
V,33051533,53.617185,-113.401544
V,33051534,53.620683,-113.399709
V,33051535,53.627147,-113.397263
V,33051536,53.632746,-113.395032
V,33051537,53.643557,-113.390874
V,33051538,53.648543,-113.388643
V,33051539,53.650497,-113.386446
V,33051540,53.651087,-113.385502
V,33051541,53.651682,-113.384214
V,33051551,53.609125,-113.407863
V,33051552,53.612256,-113.404773
V,33051553,53.615490,-113.402113
V,33051554,53.618773,-113.400053
V,33051555,53.623355,-113.398078
V,33051556,53.631772,-113.394988
V,33051557,53.640278,-113.391641
V,33051558,53.647681,-113.388680
V,33051559,53.649538,-113.387221
V,33051560,53.651089,-113.384775
V,33051561,53.654777,-113.374818
V,33051572,53.606769,-113.412693
V,33051573,53.608269,-113.414713
V,33051574,53.607714,-113.414825
V,33051575,53.607240,-113.414558
V,33051576,53.606884,-113.413828
V,36396901,53.413102,-113.495248
V,36396906,53.418551,-113.493098
V,36396908,53.420211,-113.492948
V,36396909,53.421379,-113.492872
V,36396911,53.419425,-113.492978
V,36396912,53.424125,-113.492761
V,36396913,53.428128,-113.492293
V,36396914,53.429491,-113.491863
V,36396918,53.430023,-113.492510
V,36396919,53.430473,-113.492384
V,36396920,53.431716,-113.492152
V,36396922,53.433536,-113.492116
V,36396923,53.434243,-113.492361
V,36396924,53.434802,-113.492701
V,36396925,53.435485,-113.493422
V,36396926,53.436056,-113.494385
V,36396937,53.436019,-113.489920
V,36396940,53.435685,-113.507258
V,36396944,53.434943,-113.526274
V,36396945,53.434959,-113.530833
V,36396946,53.434775,-113.534555
V,36396948,53.433973,-113.540508
V,36396954,53.430346,-113.554093
V,36396957,53.429628,-113.557162
V,36396959,53.428865,-113.561782
V,36396961,53.428641,-113.564479
V,36396968,53.430037,-113.580013
V,36396976,53.433351,-113.588886
V,36397005,53.453555,-113.606920
V,36397008,53.454728,-113.608101
V,36397012,53.457412,-113.611273
V,36397017,53.459374,-113.614162
V,36397020,53.461225,-113.617217
V,36397035,53.469564,-113.642308
V,36397047,53.477084,-113.656139
V,36397054,53.485042,-113.659149
V,36397071,53.534750,-113.658830
V,36397099,53.560738,-113.659331
V,36397102,53.569697,-113.661254
V,36397105,53.574727,-113.661555
V,36397162,53.614262,-113.638925
V,36397172,53.599433,-113.574898
V,36397219,53.580287,-113.492237
V,36397224,53.571234,-113.492226
V,36397227,53.569613,-113.491788
V,36397236,53.557782,-113.491854
V,36397237,53.556802,-113.491454
